26.70 - 28291    - CREATE - ./simpledu, test, -b
71.02 - 28363    - CREATE - 
71.13 - 28363    - SEND_PIPE - 2414184
71.15 - 28363    - EXIT - 0
71.27 - 28294    - RECV_PIPE - 2414184
71.42 - 28364    - CREATE - 
71.61 - 28365    - CREATE - 
71.78 - 28366    - CREATE - 
71.97 - 28367    - CREATE - 
72.07 - 28367    - SEND_PIPE - 12378
72.09 - 28367    - EXIT - 0
72.26 - 28366    - RECV_PIPE - 12378
72.49 - 28368    - CREATE - 
72.64 - 28368    - SEND_PIPE - 2490
72.67 - 28368    - EXIT - 0
72.89 - 28366    - RECV_PIPE - 2490
73.23 - 28369    - CREATE - 
73.38 - 28369    - SEND_PIPE - 3178
73.41 - 28369    - EXIT - 0
73.80 - 28366    - RECV_PIPE - 3178
74.06 - 28370    - CREATE - 
74.14 - 28370    - SEND_PIPE - 11904
74.16 - 28370    - EXIT - 0
74.36 - 28366    - RECV_PIPE - 11904
74.72 - 28371    - CREATE - 
74.86 - 28371    - SEND_PIPE - 832
74.89 - 28371    - EXIT - 0
75.31 - 28366    - RECV_PIPE - 832
75.52 - 28372    - CREATE - 
75.60 - 28372    - SEND_PIPE - 1564
75.62 - 28372    - EXIT - 0
75.80 - 28366    - RECV_PIPE - 1564
76.05 - 28373    - CREATE - 
76.17 - 28373    - SEND_PIPE - 1214
76.19 - 28373    - EXIT - 0
76.44 - 28366    - RECV_PIPE - 1214
76.70 - 28374    - CREATE - 
76.83 - 28374    - SEND_PIPE - 2739
76.85 - 28374    - EXIT - 0
77.09 - 28366    - RECV_PIPE - 2739
77.33 - 28375    - CREATE - 
77.43 - 28375    - SEND_PIPE - 742
77.45 - 28375    - EXIT - 0
77.68 - 28366    - RECV_PIPE - 742
77.84 - 28376    - CREATE - 
77.91 - 28376    - SEND_PIPE - 3819
77.93 - 28376    - EXIT - 0
78.09 - 28366    - RECV_PIPE - 3819
78.22 - 28377    - CREATE - 
78.28 - 28377    - SEND_PIPE - 7248
78.30 - 28377    - EXIT - 0
78.57 - 28366    - RECV_PIPE - 7248
78.76 - 28378    - CREATE - 
78.84 - 28378    - SEND_PIPE - 434
78.85 - 28378    - EXIT - 0
79.04 - 28366    - RECV_PIPE - 434
79.25 - 28379    - CREATE - 
79.35 - 28379    - SEND_PIPE - 1170
79.37 - 28379    - EXIT - 0
79.59 - 28366    - RECV_PIPE - 1170
79.82 - 28380    - CREATE - 
79.89 - 28380    - SEND_PIPE - 681
79.90 - 28380    - EXIT - 0
80.03 - 28366    - RECV_PIPE - 681
80.18 - 28381    - CREATE - 
80.26 - 28381    - SEND_PIPE - 2058
80.27 - 28381    - EXIT - 0
80.42 - 28366    - RECV_PIPE - 2058
80.54 - 28382    - CREATE - 
80.61 - 28382    - SEND_PIPE - 1654
80.62 - 28382    - EXIT - 0
