26.70 - 28291    - CREATE - ./simpledu, test, -b
223.37 - 28641    - EXIT - 0
223.83 - 28606    - RECV_PIPE - 26116
224.14 - 28642    - CREATE - 
224.29 - 28642    - SEND_PIPE - 106420
224.31 - 28642    - EXIT - 0
224.56 - 28606    - RECV_PIPE - 106420
224.83 - 28643    - CREATE - 
224.96 - 28643    - SEND_PIPE - 8138
224.99 - 28643    - EXIT - 0
225.46 - 28606    - RECV_PIPE - 8138
225.68 - 28644    - CREATE - 
225.77 - 28644    - SEND_PIPE - 20510
225.79 - 28644    - EXIT - 0
225.94 - 28606    - RECV_PIPE - 20510
226.09 - 28645    - CREATE - 
226.19 - 28645    - SEND_PIPE - 1045
226.22 - 28645    - EXIT - 0
226.68 - 28606    - RECV_PIPE - 1045
227.03 - 28646    - CREATE - 
227.18 - 28646    - SEND_PIPE - 79576
227.20 - 28646    - EXIT - 0
227.51 - 28606    - RECV_PIPE - 79576
227.74 - 28647    - CREATE - 
227.84 - 28647    - SEND_PIPE - 33302
227.86 - 28647    - EXIT - 0
228.09 - 28606    - RECV_PIPE - 33302
228.34 - 28648    - CREATE - 
228.47 - 28648    - SEND_PIPE - 31082
228.49 - 28648    - EXIT - 0
228.74 - 28606    - RECV_PIPE - 31082
228.98 - 28649    - CREATE - 
229.10 - 28649    - SEND_PIPE - 34150
229.12 - 28649    - EXIT - 0
229.47 - 28606    - RECV_PIPE - 34150
229.84 - 28650    - CREATE - 
229.99 - 28650    - SEND_PIPE - 23960
230.01 - 28650    - EXIT - 0
230.26 - 28606    - RECV_PIPE - 23960
230.50 - 28651    - CREATE - 
230.59 - 28651    - SEND_PIPE - 40729
230.61 - 28651    - EXIT - 0
230.74 - 28606    - RECV_PIPE - 40729
230.89 - 28652    - CREATE - 
230.98 - 28652    - SEND_PIPE - 12945
230.99 - 28652    - EXIT - 0
231.11 - 28606    - RECV_PIPE - 12945
231.22 - 28653    - CREATE - 
231.33 - 28653    - SEND_PIPE - 37983
231.35 - 28653    - EXIT - 0
231.52 - 28606    - RECV_PIPE - 37983
231.67 - 28654    - CREATE - 
231.77 - 28654    - SEND_PIPE - 46836
231.79 - 28654    - EXIT - 0
231.92 - 28606    - RECV_PIPE - 46836
232.05 - 28655    - CREATE - 
232.14 - 28655    - SEND_PIPE - 4127
232.16 - 28655    - EXIT - 0
232.29 - 28606    - RECV_PIPE - 4127
232.43 - 28656    - CREATE - 
232.54 - 28656    - SEND_PIPE - 31731
232.56 - 28656    - EXIT - 0
232.71 - 28606    - RECV_PIPE - 31731
232.85 - 28657    - CREATE - 
232.96 - 28657    - SEND_PIPE - 20992
232.98 - 28657    - EXIT - 0
233.14 - 28606    - RECV_PIPE - 20992
233.29 - 28658    - CREATE - 
233.39 - 28658    - SEND_PIPE - 47848
233.41 - 28658    - EXIT - 0
233.54 - 28606    - RECV_PIPE - 47848
233.68 - 28659    - CREATE - 
233.79 - 28659    - SEND_PIPE - 12457
233.81 - 28659    - EXIT - 0
234.03 - 28606    - RECV_PIPE - 12457
234.25 - 28660    - CREATE - 
234.44 - 28660    - SEND_PIPE - 9312
234.47 - 28660    - EXIT - 0
234.71 - 28606    - RECV_PIPE - 9312
234.90 - 28661    - CREATE - 
235.01 - 28661    - SEND_PIPE - 23672
235.03 - 28661    - EXIT - 0
235.23 - 28606    - RECV_PIPE - 23672
235.37 - 28662    - CREATE - 
235.47 - 28662    - SEND_PIPE - 19791
235.49 - 28662    - EXIT - 0
235.72 - 28606    - RECV_PIPE - 19791
235.94 - 28663    - CREATE - 
236.03 - 28663    - SEND_PIPE - 999014
236.05 - 28663    - EXIT - 0
236.26 - 28606    - RECV_PIPE - 999014
236.45 - 28664    - CREATE - 
236.54 - 28664    - SEND_PIPE - 27544
236.56 - 28664    - EXIT - 0
236.74 - 28606    - RECV_PIPE - 27544
236.89 - 28665    - CREATE - 
236.97 - 28665    - SEND_PIPE - 40042
236.98 - 28665    - EXIT - 0
237.10 - 28606    - RECV_PIPE - 40042
237.23 - 28666    - CREATE - 
237.31 - 28666    - SEND_PIPE - 19232
237.33 - 28666    - EXIT - 0
237.44 - 28606    - RECV_PIPE - 19232
237.57 - 28667    - CREATE - 
237.69 - 28667    - SEND_PIPE - 24580
237.71 - 28667    - EXIT - 0
237.89 - 28606    - RECV_PIPE - 24580
238.05 - 28668    - CREATE - 
238.13 - 28668    - SEND_PIPE - 21509
238.14 - 28668    - EXIT - 0
238.27 - 28606    - RECV_PIPE - 21509
238.45 - 28669    - CREATE - 
238.52 - 28669    - SEND_PIPE - 1212
238.54 - 28669    - EXIT - 0
238.70 - 28606    - RECV_PIPE - 1212
239.13 - 28670    - CREATE - 
239.27 - 28670    - SEND_PIPE - 12860
239.30 - 28670    - EXIT - 0
239.85 - 28606    - RECV_PIPE - 12860
240.41 - 28671    - CREATE - 
240.55 - 28671    - SEND_PIPE - 12759
240.58 - 28671    - EXIT - 0
240.83 - 28606    - RECV_PIPE - 12759
241.07 - 28672    - CREATE - 
241.19 - 28672    - SEND_PIPE - 24510
241.22 - 28672    - EXIT - 0
241.70 - 28606    - RECV_PIPE - 24510
242.08 - 28673    - CREATE - 
242.21 - 28673    - SEND_PIPE - 19719
242.23 - 28673    - EXIT - 0
242.54 - 28606    - RECV_PIPE - 19719
242.71 - 28674    - CREATE - 
242.82 - 28674    - SEND_PIPE - 777
242.84 - 28674    - EXIT - 0
243.17 - 28606    - RECV_PIPE - 777
243.49 - 28675    - CREATE - 
243.64 - 28675    - SEND_PIPE - 58902
243.67 - 28675    - EXIT - 0
243.99 - 28606    - RECV_PIPE - 58902
244.29 - 28676    - CREATE - 
244.42 - 28676    - SEND_PIPE - 135853
244.44 - 28676    - EXIT - 0
244.73 - 28606    - RECV_PIPE - 135853
244.99 - 28677    - CREATE - 
245.12 - 28677    - SEND_PIPE - 15117
245.14 - 28677    - EXIT - 0
245.37 - 28606    - RECV_PIPE - 15117
245.59 - 28678    - CREATE - 
245.70 - 28678    - SEND_PIPE - 14363
245.72 - 28678    - EXIT - 0
245.98 - 28606    - RECV_PIPE - 14363
246.23 - 28679    - CREATE - 
246.34 - 28679    - SEND_PIPE - 16029
246.36 - 28679    - EXIT - 0
246.72 - 28606    - RECV_PIPE - 16029
247.03 - 28680    - CREATE - 
247.13 - 28680    - SEND_PIPE - 7825
247.15 - 28680    - EXIT - 0
247.33 - 28606    - RECV_PIPE - 7825
247.48 - 28681    - CREATE - 
247.56 - 28681    - SEND_PIPE - 36217
247.57 - 28681    - EXIT - 0
247.73 - 28606    - RECV_PIPE - 36217
247.90 - 28682    - CREATE - 
248.00 - 28682    - SEND_PIPE - 32983
248.02 - 28682    - EXIT - 0
248.16 - 28606    - RECV_PIPE - 32983
248.33 - 28683    - CREATE - 
248.41 - 28683    - SEND_PIPE - 4147
248.43 - 28683    - EXIT - 0
248.59 - 28606    - RECV_PIPE - 4147
248.75 - 28684    - CREATE - 
248.83 - 28684    - SEND_PIPE - 23080
248.85 - 28684    - EXIT - 0
248.99 - 28606    - RECV_PIPE - 23080
249.17 - 28685    - CREATE - 
249.26 - 28685    - SEND_PIPE - 28589
249.28 - 28685    - EXIT - 0
249.43 - 28606    - RECV_PIPE - 28589
249.58 - 28686    - CREATE - 
249.67 - 28686    - SEND_PIPE - 25761
249.69 - 28686    - EXIT - 0
249.89 - 28606    - RECV_PIPE - 25761
250.14 - 28687    - CREATE - 
250.26 - 28687    - SEND_PIPE - 7012
250.29 - 28687    - EXIT - 0
250.64 - 28606    - RECV_PIPE - 7012
250.83 - 28688    - CREATE - 
250.92 - 28688    - SEND_PIPE - 3218
250.93 - 28688    - EXIT - 0
251.08 - 28606    - RECV_PIPE - 3218
251.25 - 28689    - CREATE - 
251.35 - 28689    - SEND_PIPE - 13491
251.37 - 28689    - EXIT - 0
251.64 - 28606    - RECV_PIPE - 13491
251.83 - 28690    - CREATE - 
251.93 - 28690    - SEND_PIPE - 8561
251.95 - 28690    - EXIT - 0
252.17 - 28606    - RECV_PIPE - 8561
252.37 - 28691    - CREATE - 
252.47 - 28691    - SEND_PIPE - 11217
252.48 - 28691    - EXIT - 0
252.64 - 28606    - RECV_PIPE - 11217
252.78 - 28692    - CREATE - 
252.86 - 28692    - SEND_PIPE - 30721
252.87 - 28692    - EXIT - 0
253.03 - 28606    - RECV_PIPE - 30721
253.20 - 28693    - CREATE - 
253.28 - 28693    - SEND_PIPE - 13156
253.30 - 28693    - EXIT - 0
253.45 - 28606    - RECV_PIPE - 13156
253.61 - 28694    - CREATE - 
253.68 - 28694    - SEND_PIPE - 14383
253.70 - 28694    - EXIT - 0
253.84 - 28606    - RECV_PIPE - 14383
253.97 - 28695    - CREATE - 
254.05 - 28695    - SEND_PIPE - 12223
254.06 - 28695    - EXIT - 0
254.18 - 28606    - RECV_PIPE - 12223
254.30 - 28696    - CREATE - 
254.37 - 28696    - SEND_PIPE - 12120
254.46 - 28696    - EXIT - 0
254.58 - 28606    - RECV_PIPE - 12120
254.69 - 28697    - CREATE - 
254.78 - 28697    - SEND_PIPE - 68240
254.80 - 28697    - EXIT - 0
254.90 - 28606    - RECV_PIPE - 68240
255.04 - 28698    - CREATE - 
255.12 - 28698    - SEND_PIPE - 4892
255.14 - 28698    - EXIT - 0
255.25 - 28606    - RECV_PIPE - 4892
255.44 - 28699    - CREATE - 
255.53 - 28699    - SEND_PIPE - 50180
255.54 - 28699    - EXIT - 0
255.68 - 28606    - RECV_PIPE - 50180
255.95 - 28700    - CREATE - 
256.08 - 28700    - SEND_PIPE - 33770
256.10 - 28700    - EXIT - 0
256.40 - 28606    - RECV_PIPE - 33770
256.78 - 28701    - CREATE - 
256.94 - 28701    - SEND_PIPE - 355
256.97 - 28701    - EXIT - 0
257.25 - 28606    - RECV_PIPE - 355
257.46 - 28702    - CREATE - 
257.57 - 28702    - SEND_PIPE - 27150
257.59 - 28702    - EXIT - 0
257.93 - 28606    - RECV_PIPE - 27150
258.24 - 28703    - CREATE - 
258.38 - 28703    - SEND_PIPE - 39674
258.53 - 28703    - EXIT - 0
258.78 - 28606    - RECV_PIPE - 39674
258.97 - 28704    - CREATE - 
259.07 - 28704    - SEND_PIPE - 35826
259.08 - 28704    - EXIT - 0
259.23 - 28606    - RECV_PIPE - 35826
259.40 - 28705    - CREATE - 
259.49 - 28705    - SEND_PIPE - 109405
259.50 - 28705    - EXIT - 0
259.62 - 28606    - RECV_PIPE - 109405
259.81 - 28706    - CREATE - 
259.94 - 28706    - SEND_PIPE - 26722
259.97 - 28706    - EXIT - 0
260.25 - 28606    - RECV_PIPE - 26722
260.57 - 28707    - CREATE - 
260.70 - 28707    - SEND_PIPE - 46418
260.73 - 28707    - EXIT - 0
261.02 - 28606    - RECV_PIPE - 46418
261.27 - 28708    - CREATE - 
261.40 - 28708    - SEND_PIPE - 29907
261.43 - 28708    - EXIT - 0
261.76 - 28606    - RECV_PIPE - 29907
262.07 - 28709    - CREATE - 
262.19 - 28709    - SEND_PIPE - 22213
262.21 - 28709    - EXIT - 0
262.60 - 28606    - RECV_PIPE - 22213
262.84 - 28710    - CREATE - 
262.96 - 28710    - SEND_PIPE - 32380
262.98 - 28710    - EXIT - 0
263.24 - 28606    - RECV_PIPE - 32380
263.53 - 28711    - CREATE - 
263.64 - 28711    - SEND_PIPE - 44476
263.66 - 28711    - EXIT - 0
263.91 - 28606    - RECV_PIPE - 44476
264.12 - 28712    - CREATE - 
264.24 - 28712    - SEND_PIPE - 42562
264.26 - 28712    - EXIT - 0
264.45 - 28606    - RECV_PIPE - 42562
264.63 - 28713    - CREATE - 
264.74 - 28713    - SEND_PIPE - 4857
264.76 - 28713    - EXIT - 0
264.93 - 28606    - RECV_PIPE - 4857
265.11 - 28714    - CREATE - 
265.21 - 28714    - SEND_PIPE - 4581790
265.24 - 28714    - EXIT - 0
265.44 - 28606    - RECV_PIPE - 4581790
265.65 - 28715    - CREATE - 
265.76 - 28715    - SEND_PIPE - 2512
265.78 - 28715    - EXIT - 0
266.04 - 28606    - RECV_PIPE - 2512
266.26 - 28716    - CREATE - 
266.47 - 28716    - SEND_PIPE - 8263
266.50 - 28716    - EXIT - 0
266.77 - 28606    - RECV_PIPE - 8263
267.11 - 28717    - CREATE - 
267.24 - 28717    - SEND_PIPE - 284614
267.26 - 28717    - EXIT - 0
267.48 - 28606    - RECV_PIPE - 284614
267.69 - 28718    - CREATE - 
267.79 - 28718    - SEND_PIPE - 19771
267.80 - 28718    - EXIT - 0
268.00 - 28606    - RECV_PIPE - 19771
268.28 - 28719    - CREATE - 
268.37 - 28719    - SEND_PIPE - 17124
268.39 - 28719    - EXIT - 0
268.61 - 28606    - RECV_PIPE - 17124
268.82 - 28720    - CREATE - 
268.92 - 28720    - SEND_PIPE - 3859
268.94 - 28720    - EXIT - 0
269.14 - 28606    - RECV_PIPE - 3859
269.33 - 28721    - CREATE - 
269.41 - 28721    - SEND_PIPE - 67562
269.42 - 28721    - EXIT - 0
269.58 - 28606    - RECV_PIPE - 67562
269.75 - 28722    - CREATE - 
269.83 - 28722    - SEND_PIPE - 24590
269.84 - 28722    - EXIT - 0
269.98 - 28606    - RECV_PIPE - 24590
270.15 - 28723    - CREATE - 
270.22 - 28723    - SEND_PIPE - 5860
270.23 - 28723    - EXIT - 0
270.36 - 28606    - RECV_PIPE - 5860
270.56 - 28724    - CREATE - 
270.63 - 28724    - SEND_PIPE - 13884
270.65 - 28724    - EXIT - 0
270.77 - 28606    - RECV_PIPE - 13884
270.93 - 28725    - CREATE - 
271.00 - 28725    - SEND_PIPE - 15996
271.02 - 28725    - EXIT - 0
271.13 - 28606    - RECV_PIPE - 15996
271.26 - 28726    - CREATE - 
271.34 - 28726    - SEND_PIPE - 33872
271.36 - 28726    - EXIT - 0
271.46 - 28606    - RECV_PIPE - 33872
271.63 - 28727    - CREATE - 
271.70 - 28727    - SEND_PIPE - 23695
271.72 - 28727    - EXIT - 0
271.83 - 28606    - RECV_PIPE - 23695
272.04 - 28728    - CREATE - 
272.14 - 28728    - SEND_PIPE - 123931
272.17 - 28728    - EXIT - 0
272.33 - 28606    - RECV_PIPE - 123931
272.57 - 28729    - CREATE - 
272.74 - 28729    - SEND_PIPE - 49658
272.77 - 28729    - EXIT - 0
273.14 - 28606    - RECV_PIPE - 49658
273.58 - 28730    - CREATE - 
273.75 - 28730    - SEND_PIPE - 10536
273.77 - 28730    - EXIT - 0
274.01 - 28606    - RECV_PIPE - 10536
274.23 - 28731    - CREATE - 
274.32 - 28731    - SEND_PIPE - 2293
274.34 - 28731    - EXIT - 0
274.86 - 28606    - RECV_PIPE - 2293
275.28 - 28732    - CREATE - 
275.39 - 28732    - SEND_PIPE - 26005
275.41 - 28732    - EXIT - 0
275.62 - 28606    - RECV_PIPE - 26005
275.80 - 28733    - CREATE - 
275.89 - 28733    - SEND_PIPE - 4598894
275.91 - 28733    - EXIT - 0
276.21 - 28606    - RECV_PIPE - 4598894
276.54 - 28734    - CREATE - 
276.67 - 28734    - SEND_PIPE - 821
276.69 - 28734    - EXIT - 0
276.99 - 28606    - RECV_PIPE - 821
277.29 - 28735    - CREATE - 
277.42 - 28735    - SEND_PIPE - 49632
277.45 - 28735    - EXIT - 0
277.71 - 28606    - RECV_PIPE - 49632
278.01 - 28736    - CREATE - 
278.14 - 28736    - SEND_PIPE - 2447
278.17 - 28736    - EXIT - 0
278.64 - 28606    - RECV_PIPE - 2447
279.02 - 28737    - CREATE - 
279.16 - 28737    - SEND_PIPE - 11983
279.18 - 28737    - EXIT - 0
279.47 - 28606    - RECV_PIPE - 11983
279.77 - 28738    - CREATE - 
279.90 - 28738    - SEND_PIPE - 23345
279.93 - 28738    - EXIT - 0
280.14 - 28606    - RECV_PIPE - 23345
280.34 - 28739    - CREATE - 
280.44 - 28739    - SEND_PIPE - 15937
280.46 - 28739    - EXIT - 0
280.63 - 28606    - RECV_PIPE - 15937
280.80 - 28740    - CREATE - 
280.88 - 28740    - SEND_PIPE - 20912
280.89 - 28740    - EXIT - 0
281.03 - 28606    - RECV_PIPE - 20912
281.20 - 28741    - CREATE - 
281.29 - 28741    - SEND_PIPE - 16013
281.31 - 28741    - EXIT - 0
281.49 - 28606    - RECV_PIPE - 16013
281.66 - 28742    - CREATE - 
281.77 - 28742    - SEND_PIPE - 35790
281.79 - 28742    - EXIT - 0
281.99 - 28606    - RECV_PIPE - 35790
282.19 - 28743    - CREATE - 
282.28 - 28743    - SEND_PIPE - 180557
282.30 - 28743    - EXIT - 0
282.65 - 28606    - RECV_PIPE - 180557
282.89 - 28744    - CREATE - 
282.99 - 28744    - SEND_PIPE - 32
283.01 - 28744    - EXIT - 0
283.22 - 28606    - RECV_PIPE - 32
283.42 - 28745    - CREATE - 
283.57 - 28745    - SEND_PIPE - 42405
283.61 - 28745    - EXIT - 0
283.90 - 28606    - RECV_PIPE - 42405
284.10 - 28746    - CREATE - 
284.18 - 28746    - SEND_PIPE - 2017
284.20 - 28746    - EXIT - 0
284.41 - 28606    - RECV_PIPE - 2017
284.61 - 28747    - CREATE - 
284.69 - 28747    - SEND_PIPE - 16791
284.71 - 28747    - EXIT - 0
284.88 - 28606    - RECV_PIPE - 16791
285.07 - 28748    - CREATE - 
285.18 - 28748    - SEND_PIPE - 319293
285.20 - 28748    - EXIT - 0
285.34 - 28606    - RECV_PIPE - 319293
285.53 - 28749    - CREATE - 
285.62 - 28749    - SEND_PIPE - 17040
285.63 - 28749    - EXIT - 0
285.80 - 28606    - RECV_PIPE - 17040
285.97 - 28750    - CREATE - 
286.05 - 28750    - SEND_PIPE - 18908
286.06 - 28750    - EXIT - 0
286.22 - 28606    - RECV_PIPE - 18908
286.48 - 28751    - CREATE - 
286.56 - 28751    - SEND_PIPE - 10948
286.57 - 28751    - EXIT - 0
286.70 - 28606    - RECV_PIPE - 10948
286.85 - 28752    - CREATE - 
286.95 - 28752    - SEND_PIPE - 4626725
286.96 - 28752    - EXIT - 0
287.10 - 28606    - RECV_PIPE - 4626725
287.22 - 28753    - CREATE - 
287.31 - 28753    - SEND_PIPE - 49634
287.33 - 28753    - EXIT - 0
287.45 - 28606    - RECV_PIPE - 49634
287.58 - 28754    - CREATE - 
287.66 - 28754    - SEND_PIPE - 10729
287.67 - 28754    - EXIT - 0
287.78 - 28606    - RECV_PIPE - 10729
287.92 - 28755    - CREATE - 
287.99 - 28755    - SEND_PIPE - 52954
288.00 - 28755    - EXIT - 0
288.11 - 28606    - RECV_PIPE - 52954
288.23 - 28756    - CREATE - 
288.32 - 28756    - SEND_PIPE - 13496
288.33 - 28756    - EXIT - 0
288.45 - 28606    - RECV_PIPE - 13496
288.57 - 28757    - CREATE - 
288.68 - 28757    - SEND_PIPE - 96421
288.69 - 28757    - EXIT - 0
288.84 - 28606    - RECV_PIPE - 96421
288.97 - 28758    - CREATE - 
289.06 - 28758    - SEND_PIPE - 4179
289.08 - 28758    - EXIT - 0
289.34 - 28606    - RECV_PIPE - 4179
289.64 - 28759    - CREATE - 
289.80 - 28759    - SEND_PIPE - 11271
289.83 - 28759    - EXIT - 0
290.20 - 28606    - RECV_PIPE - 11271
290.64 - 28760    - CREATE - 
290.76 - 28760    - SEND_PIPE - 14781
290.79 - 28760    - EXIT - 0
291.05 - 28606    - RECV_PIPE - 14781
291.46 - 28761    - CREATE - 
291.69 - 28761    - SEND_PIPE - 34623
291.73 - 28761    - EXIT - 0
292.14 - 28606    - RECV_PIPE - 34623
292.35 - 28762    - CREATE - 
292.47 - 28762    - SEND_PIPE - 8715
292.49 - 28762    - EXIT - 0
292.83 - 28606    - RECV_PIPE - 8715
293.18 - 28763    - CREATE - 
293.34 - 28763    - SEND_PIPE - 5564
293.37 - 28763    - EXIT - 0
293.75 - 28606    - RECV_PIPE - 5564
294.08 - 28764    - CREATE - 
294.23 - 28764    - SEND_PIPE - 30917
294.25 - 28764    - EXIT - 0
294.73 - 28606    - RECV_PIPE - 30917
295.11 - 28765    - CREATE - 
295.25 - 28765    - SEND_PIPE - 15296
295.28 - 28765    - EXIT - 0
295.57 - 28606    - RECV_PIPE - 15296
295.98 - 28766    - CREATE - 
296.16 - 28766    - SEND_PIPE - 18079
296.19 - 28766    - EXIT - 0
296.51 - 28606    - RECV_PIPE - 18079
296.77 - 28767    - CREATE - 
296.86 - 28767    - SEND_PIPE - 64096
296.88 - 28767    - EXIT - 0
297.03 - 28606    - RECV_PIPE - 64096
297.18 - 28768    - CREATE - 
297.30 - 28768    - SEND_PIPE - 101849
297.32 - 28768    - EXIT - 0
297.49 - 28606    - RECV_PIPE - 101849
297.63 - 28769    - CREATE - 
297.72 - 28769    - SEND_PIPE - 454
297.73 - 28769    - EXIT - 0
297.87 - 28606    - RECV_PIPE - 454
297.99 - 28770    - CREATE - 
298.08 - 28770    - SEND_PIPE - 16913
298.09 - 28770    - EXIT - 0
298.21 - 28606    - RECV_PIPE - 16913
298.36 - 28771    - CREATE - 
298.54 - 28771    - SEND_PIPE - 18808
298.56 - 28771    - EXIT - 0
298.73 - 28606    - RECV_PIPE - 18808
298.91 - 28772    - CREATE - 
299.00 - 28772    - SEND_PIPE - 2711
299.02 - 28772    - EXIT - 0
299.16 - 28606    - RECV_PIPE - 2711
299.34 - 28773    - CREATE - 
299.43 - 28773    - SEND_PIPE - 11719
299.44 - 28773    - EXIT - 0
299.62 - 28606    - RECV_PIPE - 11719
299.90 - 28774    - CREATE - 
300.02 - 28774    - SEND_PIPE - 25847
300.04 - 28774    - EXIT - 0
300.22 - 28606    - RECV_PIPE - 25847
300.53 - 28775    - CREATE - 
300.63 - 28775    - SEND_PIPE - 12248
300.65 - 28775    - EXIT - 0
300.92 - 28606    - RECV_PIPE - 12248
301.12 - 28776    - CREATE - 
301.25 - 28776    - SEND_PIPE - 4609615
301.28 - 28776    - EXIT - 0
301.59 - 28606    - RECV_PIPE - 4609615
301.84 - 28777    - CREATE - 
301.94 - 28777    - SEND_PIPE - 4179
301.96 - 28777    - EXIT - 0
302.23 - 28606    - RECV_PIPE - 4179
302.54 - 28778    - CREATE - 
302.64 - 28778    - SEND_PIPE - 1052
302.66 - 28778    - EXIT - 0
302.84 - 28606    - RECV_PIPE - 1052
302.99 - 28779    - CREATE - 
303.11 - 28779    - SEND_PIPE - 119099
303.12 - 28779    - EXIT - 0
303.26 - 28606    - RECV_PIPE - 119099
303.41 - 28780    - CREATE - 
303.49 - 28780    - SEND_PIPE - 1110
303.50 - 28780    - EXIT - 0
303.64 - 28606    - RECV_PIPE - 1110
303.78 - 28781    - CREATE - 
303.85 - 28781    - SEND_PIPE - 21161
303.87 - 28781    - EXIT - 0
303.98 - 28606    - RECV_PIPE - 21161
304.12 - 28782    - CREATE - 
304.20 - 28782    - SEND_PIPE - 88689
304.21 - 28782    - EXIT - 0
304.33 - 28606    - RECV_PIPE - 88689
304.45 - 28783    - CREATE - 
304.54 - 28783    - SEND_PIPE - 27129
304.55 - 28783    - EXIT - 0
304.66 - 28606    - RECV_PIPE - 27129
304.79 - 28784    - CREATE - 
304.88 - 28784    - SEND_PIPE - 177685
304.90 - 28784    - EXIT - 0
305.00 - 28606    - RECV_PIPE - 177685
305.12 - 28785    - CREATE - 
305.20 - 28785    - SEND_PIPE - 23595
305.21 - 28785    - EXIT - 0
305.34 - 28606    - RECV_PIPE - 23595
305.49 - 28786    - CREATE - 
305.57 - 28786    - SEND_PIPE - 14131
305.59 - 28786    - EXIT - 0
305.75 - 28606    - RECV_PIPE - 14131
306.03 - 28787    - CREATE - 
306.23 - 28787    - SEND_PIPE - 61681
306.26 - 28787    - EXIT - 0
306.82 - 28606    - RECV_PIPE - 61681
307.20 - 28788    - CREATE - 
307.33 - 28788    - SEND_PIPE - 11384
307.35 - 28788    - EXIT - 0
307.66 - 28606    - RECV_PIPE - 11384
307.96 - 28789    - CREATE - 
308.08 - 28789    - SEND_PIPE - 2250
308.12 - 28789    - EXIT - 0
308.45 - 28606    - RECV_PIPE - 2250
308.70 - 28790    - CREATE - 
308.81 - 28790    - SEND_PIPE - 73710
308.83 - 28790    - EXIT - 0
309.00 - 28606    - RECV_PIPE - 73710
309.16 - 28791    - CREATE - 
309.27 - 28791    - SEND_PIPE - 17788
309.29 - 28791    - EXIT - 0
309.44 - 28606    - RECV_PIPE - 17788
309.58 - 28792    - CREATE - 
309.68 - 28792    - SEND_PIPE - 2737
309.70 - 28792    - EXIT - 0
309.88 - 28606    - RECV_PIPE - 2737
310.12 - 28793    - CREATE - 
310.27 - 28793    - SEND_PIPE - 32247
310.29 - 28793    - EXIT - 0
310.73 - 28606    - RECV_PIPE - 32247
311.05 - 28794    - CREATE - 
311.20 - 28794    - SEND_PIPE - 6627
311.23 - 28794    - EXIT - 0
311.56 - 28606    - RECV_PIPE - 6627
311.82 - 28795    - CREATE - 
311.94 - 28795    - SEND_PIPE - 26095
311.96 - 28795    - EXIT - 0
312.25 - 28606    - RECV_PIPE - 26095
312.53 - 28796    - CREATE - 
312.64 - 28796    - SEND_PIPE - 6223
312.66 - 28796    - EXIT - 0
312.91 - 28606    - RECV_PIPE - 6223
313.13 - 28797    - CREATE - 
313.22 - 28797    - SEND_PIPE - 44671
313.24 - 28797    - EXIT - 0
313.46 - 28606    - RECV_PIPE - 44671
313.68 - 28798    - CREATE - 
313.76 - 28798    - SEND_PIPE - 21459
313.78 - 28798    - EXIT - 0
313.92 - 28606    - RECV_PIPE - 21459
314.06 - 28799    - CREATE - 
314.16 - 28799    - SEND_PIPE - 40709
314.17 - 28799    - EXIT - 0
314.33 - 28606    - RECV_PIPE - 40709
314.52 - 28800    - CREATE - 
314.61 - 28800    - SEND_PIPE - 5782
314.63 - 28800    - EXIT - 0
314.79 - 28606    - RECV_PIPE - 5782
314.93 - 28801    - CREATE - 
315.03 - 28801    - SEND_PIPE - 53017
315.06 - 28801    - EXIT - 0
315.23 - 28606    - RECV_PIPE - 53017
315.37 - 28802    - CREATE - 
315.45 - 28802    - SEND_PIPE - 63255
315.47 - 28802    - EXIT - 0
315.61 - 28606    - RECV_PIPE - 63255
315.75 - 28803    - CREATE - 
315.88 - 28803    - SEND_PIPE - 58746
315.91 - 28803    - EXIT - 0
316.12 - 28606    - RECV_PIPE - 58746
316.29 - 28804    - CREATE - 
316.39 - 28804    - SEND_PIPE - 28363
316.42 - 28804    - EXIT - 0
316.62 - 28606    - RECV_PIPE - 28363
316.91 - 28805    - CREATE - 
317.06 - 28805    - SEND_PIPE - 3899
317.09 - 28805    - EXIT - 0
317.39 - 28606    - RECV_PIPE - 3899
317.69 - 28806    - CREATE - 
317.83 - 28806    - SEND_PIPE - 51116
317.86 - 28806    - EXIT - 0
318.05 - 28606    - RECV_PIPE - 51116
318.27 - 28807    - CREATE - 
318.37 - 28807    - SEND_PIPE - 7527
318.53 - 28807    - EXIT - 0
318.82 - 28606    - RECV_PIPE - 7527
319.11 - 28808    - CREATE - 
319.23 - 28808    - SEND_PIPE - 110313
319.25 - 28808    - EXIT - 0
319.56 - 28606    - RECV_PIPE - 110313
319.78 - 28809    - CREATE - 
319.87 - 28809    - SEND_PIPE - 2257763
319.89 - 28809    - EXIT - 0
320.04 - 28606    - RECV_PIPE - 2257763
320.21 - 28810    - CREATE - 
320.29 - 28810    - SEND_PIPE - 10460
320.31 - 28810    - EXIT - 0
320.48 - 28606    - RECV_PIPE - 10460
320.65 - 28811    - CREATE - 
320.74 - 28811    - SEND_PIPE - 36343
320.75 - 28811    - EXIT - 0
320.90 - 28606    - RECV_PIPE - 36343
321.05 - 28812    - CREATE - 
321.13 - 28812    - SEND_PIPE - 129115
321.15 - 28812    - EXIT - 0
321.26 - 28606    - RECV_PIPE - 129115
321.41 - 28813    - CREATE - 
321.48 - 28813    - SEND_PIPE - 19859
321.50 - 28813    - EXIT - 0
321.61 - 28606    - RECV_PIPE - 19859
